1	2	3	4	5	6	7	8	T2	T5	T7	L6	OV5	L3	L1	L7	OV2	OV7	T3	OV8	L5	L4	T1	T4	T6	OV4	OV6	OV1	OV3	L2	L8	
Bacteria	Cyanobacteria	Chloroplast	Chlorophyta				2743763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	
Bacteria	Cyanobacteria	Chloroplast	Stramenopiles				309271	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium		573135	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	
Bacteria	Bacteroidetes	[Saprospirae]	[Saprospirales]	Chitinophagaceae			114076	0	0	0	0	0	0	0	0	0	7	0	0	2	0	0	0	0	0	0	0	0	0	0	
Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae			371510	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	mitochondria			1646259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Prosthecobacter		4471434	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Polaromonas		4411183	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales				1048850	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Polaromonas		448038	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales				632342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
Bacteria	Bacteroidetes	[Saprospirae]	[Saprospirales]	Chitinophagaceae	Sediminibacterium		2792167	1	0	0	0	0	2	0	5	0	0	2	0	0	0	0	1	6	3	0	0	0	0	0	
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	ACK-M1			670656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	8	0	4	0	1	0	0	
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium		251173	0	1	3	0	3	0	0	0	0	2	0	0	1	1	0	0	0	0	1	0	0	0	0	
Bacteria	Bacteroidetes	[Saprospirae]	[Saprospirales]	Chitinophagaceae			697222	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
Bacteria	Cyanobacteria	Synechococcophycideae	Pseudanabaenales	Pseudanabaenaceae	Leptolyngbya		255101	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Bacteria	Cyanobacteria	Chloroplast	Stramenopiles				754800	0	0	1	0	0	0	3	0	4	0	0	0	0	0	1	0	1	1	4	0	2	0	0	
Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales				285591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales				326232	0	1	5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	
Bacteria	Cyanobacteria	Chloroplast	Streptophyta				432284	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Luteolibacter		719681	1	1	4	0	0	0	0	0	0	4	1	3	0	0	0	0	0	0	0	1	0	0	0	
Bacteria	Verrucomicrobia	Opitutae	[Cerasicoccales]	[Cerasicoccaceae]			4423752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
