1	2	3	4	5	6	7	8	anser6	anser4	anser1	anser3	anser8	anser5	anser9	anser7	anser2	
Bacteria	Firmicutes	Clostridia	Clostridiales				178738	0	0	1	0	1	0	0	0	0	
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas		2534143	1	5	1	0	44	0	0	0	0	
Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium		342025	0	0	0	3	0	0	0	0	2	
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	johnsonii	1790396	0	2	1	0	0	0	0	0	0	
Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Cetobacterium	somerae	828162	0	0	0	5	0	0	0	0	0	
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	johnsonii	1896186	0	1	0	0	0	1	0	0	1	
Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae			770499	1	0	1	0	0	0	0	0	0	
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Microbispora	rosea	687676	0	0	0	0	1	0	15	1	0	
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	marcusii	812921	0	2	0	0	2	0	33	0	0	
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae			233103	0	0	0	0	0	0	3	0	0	
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae			510295	0	0	0	0	13	0	4	27	39	
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Ruminococcus]		325977	0	0	0	0	37	0	9	18	0	
Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	[Eubacterium]		815422	0	0	0	0	2	0	0	0	0	
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus		357169	0	0	2	0	4	0	0	0	0	
Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae			850642	0	0	0	0	0	0	0	0	8	
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae			582691	0	0	0	0	0	0	0	0	7	
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus		318763	0	4	0	0	0	0	0	0	0	
Bacteria	Cyanobacteria	Chloroplast	Streptophyta				432284	0	0	0	0	0	0	3	0	0	
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae			193850	0	0	0	0	0	0	6	0	0	
Bacteria	Firmicutes	Clostridia	Clostridiales				181833	0	0	0	0	0	0	4	3	0	
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	stercoris	329688	0	0	0	0	1	0	4	3	0	
Bacteria	Firmicutes	Clostridia	Clostridiales				237063	0	0	0	0	0	0	26	0	0	
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae			588216	0	0	1	21	0	0	0	0	5	
Bacteria	Cyanobacteria	Chloroplast	Streptophyta				1131894	0	0	0	0	0	0	2	0	0	
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Epulopiscium		298247	0	0	1	1	0	0	0	0	2	
Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Luteimonas		2819697	0	0	1	0	0	0	1	0	0	
Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae			544847	0	2	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae			124798	0	2	0	0	0	0	0	0	0	
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	eutactus	314996	1	1	0	0	0	0	0	0	0	
